id,system_id,dependent_variable,independent_variable_1,independent_variable_2
1,1,0,1,1
2,1,0,1,2
3,1,0,1,3
4,1,0,1,4
5,1,0,1,5
6,1,0,1,6
7,1,0,1,7
8,1,0,1,8
9,1,0,1,9
10,1,0,1,10
11,1,0,1,11
12,1,0,1,12
13,1,0,1,13
14,1,0,1,14
15,1,0,1,15
16,1,0,1,16
17,1,0,1,17
18,1,0,1,18
19,1,0,1,19
20,1,0,1,20
21,1,0,1,21
22,1,0,1,22
23,1,0,1,23
24,1,0,1,24
25,1,0,1,25
26,1,0,1,26
27,1,0,1,27
28,1,0,1,28
29,1,0,1,29
30,1,0,1,30
31,1,0,1,31
32,1,0,1,32
33,1,0,1,33
34,1,0,1,34
35,1,0,1,35
36,1,0,1,36
37,1,0,1,37
38,1,0,1,38
39,1,0,1,39
40,1,0,1,40
41,1,0,1,41
42,1,0,1,42
43,1,0,1,43
44,1,0,1,44
45,1,0,1,45
46,1,0,1,46
47,1,0,1,47
48,1,0,1,48
49,1,0,1,49
50,1,0,1,50
51,1,0,1,51
52,1,0,1,52
53,1,0,1,53
54,1,0,1,54
55,1,0,1,55
56,1,0,1,56
57,1,0,1,57
58,1,0,1,58
59,1,0,1,59
60,1,0,1,60
61,1,0,1,61
62,1,0,1,62
63,1,0,1,63
64,1,0,1,64
65,1,0,1,65
66,1,0,1,66
67,1,0,1,67
68,1,0,1,68
69,1,0,1,69
70,1,0,1,70
71,1,0,1,71
72,1,0,1,72
73,1,0,1,73
74,1,0,1,74
75,1,0,1,75
76,1,0,1,76
77,1,0,1,77
78,1,0,1,78
79,1,0,1,79
80,1,0,1,80
81,1,0,1,81
82,1,0,1,82
83,1,0,1,83
84,1,0,1,84
85,1,0,1,85
86,1,0,1,86
87,1,0,1,87
88,1,0,1,88
89,1,0,1,89
90,1,0,1,90
91,1,0,1,91
92,1,0,1,92
93,1,0,1,93
94,1,0,1,94
95,1,0,1,95
96,1,0,1,96
97,1,0,1,97
98,1,0,1,98
99,1,0,1,99
100,1,0,1,100
101,1,0,2,1
102,1,0,2,2
103,1,0,2,3
104,1,0,2,4
105,1,0,2,5
106,1,0,2,6
107,1,0,2,7
108,1,0,2,8
109,1,0,2,9
110,1,0,2,10
111,1,0,2,11
112,1,0,2,12
113,1,0,2,13
114,1,0,2,14
115,1,0,2,15
116,1,0,2,16
117,1,0,2,17
