id;system_id;dependent_variable;independent_variable_1
1;1;10.8;1.0
2;1;11.6;2.0
3;1;12.4;3.0
4;1;13.2;4.0
5;1;14.0;5.0
6;1;14.8;6.0
7;1;15.600000000000001;7.0
8;1;16.4;8.0
9;1;17.2;9.0
10;1;18.0;10.0
11;1;18.8;11.0
12;1;19.6;12.0
13;1;20.4;13.0
14;1;21.200000000000003;14.0
15;1;22.0;15.0
16;1;22.8;16.0
17;1;23.6;17.0
18;1;24.4;18.0
19;1;25.200000000000003;19.0
20;1;26.0;20.0
21;1;26.8;21.0
22;1;27.6;22.0
23;1;28.400000000000002;23.0
24;1;29.200000000000003;24.0
25;1;30.0;25.0
26;1;30.8;26.0
27;1;31.6;27.0
28;1;32.400000000000006;28.0
29;1;33.2;29.0
30;1;34.0;30.0
31;1;34.8;31.0
32;1;35.6;32.0
33;1;36.400000000000006;33.0
34;1;37.2;34.0
35;1;38.0;35.0
36;1;38.8;36.0
37;1;39.6;37.0
38;1;40.400000000000006;38.0
39;1;41.2;39.0
40;1;42.0;40.0
41;1;42.800000000000004;41.0
42;1;43.6;42.0
43;1;44.4;43.0
44;1;45.2;44.0
45;1;46.0;45.0
46;1;46.800000000000004;46.0
47;1;47.6;47.0
48;1;48.400000000000006;48.0
49;1;49.2;49.0
50;1;50.0;50.0
51;1;50.800000000000004;51.0
52;1;51.6;52.0
53;1;52.400000000000006;53.0
54;1;53.2;54.0
55;1;54.0;55.0
56;1;54.800000000000004;56.0
57;1;55.6;57.0
58;1;56.400000000000006;58.0
59;1;57.2;59.0
60;1;58.0;60.0
61;1;58.800000000000004;61.0
62;1;59.6;62.0
63;1;60.400000000000006;63.0
64;1;61.2;64.0
65;1;62.0;65.0
66;1;62.800000000000004;66.0
67;1;63.6;67.0
68;1;64.4;68.0
69;1;65.2;69.0
70;1;66.0;70.0
71;1;66.80000000000001;71.0
72;1;67.6;72.0
73;1;68.4;73.0
74;1;69.2;74.0
75;1;70.0;75.0
76;1;70.80000000000001;76.0
77;1;71.6;77.0
78;1;72.4;78.0
79;1;73.2;79.0
80;1;74.0;80.0
81;1;74.8;81.0
82;1;75.60000000000001;82.0
83;1;76.4;83.0
84;1;77.2;84.0
85;1;78.0;85.0
86;1;78.8;86.0
87;1;79.60000000000001;87.0
88;1;80.4;88.0
89;1;81.2;89.0
90;1;82.0;90.0
91;1;82.8;91.0
92;1;83.60000000000001;92.0
93;1;84.4;93.0
94;1;85.2;94.0
95;1;86.0;95.0
96;1;86.80000000000001;96.0
97;1;87.60000000000001;97.0
98;1;88.4;98.0
99;1;89.2;99.0
100;1;90.0;100.0
101;2;10.8;1.0
102;2;11.6;2.0
103;2;12.4;3.0
104;2;13.2;4.0
105;2;14.0;5.0
106;2;14.8;6.0
107;2;15.600000000000001;7.0
108;2;16.4;8.0
109;2;17.2;9.0
110;2;18.0;10.0
111;2;18.8;11.0
112;2;19.6;12.0
113;2;20.4;13.0
114;2;21.200000000000003;14.0
115;2;22.0;15.0
116;2;22.8;16.0
117;2;23.6;17.0
118;2;24.4;18.0
119;2;25.200000000000003;19.0
120;2;26.0;20.0
121;2;26.8;21.0
122;2;27.6;22.0
123;2;28.400000000000002;23.0
124;2;29.200000000000003;24.0
125;2;30.0;25.0
126;2;30.8;26.0
127;2;31.6;27.0
128;2;32.400000000000006;28.0
129;2;33.2;29.0
130;2;34.0;30.0
131;2;34.8;31.0
132;2;35.6;32.0
133;2;36.400000000000006;33.0
134;2;37.2;34.0
135;2;38.0;35.0
136;2;38.8;36.0
137;2;39.6;37.0
138;2;40.400000000000006;38.0
139;2;41.2;39.0
140;2;42.0;40.0
141;2;42.800000000000004;41.0
142;2;43.6;42.0
143;2;44.4;43.0
144;2;45.2;44.0
145;2;46.0;45.0
146;2;46.800000000000004;46.0
147;2;47.6;47.0
148;2;48.400000000000006;48.0
149;2;49.2;49.0
150;2;50.0;50.0
151;2;50.800000000000004;51.0
152;2;51.6;52.0
153;2;52.400000000000006;53.0
154;2;53.2;54.0
155;2;54.0;55.0
156;2;54.800000000000004;56.0
157;2;55.6;57.0
158;2;56.400000000000006;58.0
159;2;57.2;59.0
160;2;58.0;60.0
161;2;58.800000000000004;61.0
162;2;59.6;62.0
163;2;60.400000000000006;63.0
164;2;61.2;64.0
165;2;62.0;65.0
166;2;62.800000000000004;66.0
167;2;63.6;67.0
168;2;64.4;68.0
169;2;65.2;69.0
170;2;66.0;70.0
171;2;66.80000000000001;71.0
172;2;67.6;72.0
173;2;68.4;73.0
174;2;69.2;74.0
175;2;70.0;75.0
176;2;70.80000000000001;76.0
177;2;71.6;77.0
178;2;72.4;78.0
179;2;73.2;79.0
180;2;74.0;80.0
181;2;74.8;81.0
182;2;75.60000000000001;82.0
183;2;76.4;83.0
184;2;77.2;84.0
185;2;78.0;85.0
186;2;78.8;86.0
187;2;79.60000000000001;87.0
188;2;80.4;88.0
189;2;81.2;89.0
190;2;82.0;90.0
191;2;82.8;91.0
192;2;83.60000000000001;92.0
193;2;84.4;93.0
194;2;85.2;94.0
195;2;86.0;95.0
196;2;86.80000000000001;96.0
197;2;87.60000000000001;97.0
198;2;88.4;98.0
199;2;89.2;99.0
200;2;90.0;100.0
201;3;10.8;1.0
202;3;11.6;2.0
203;3;12.4;3.0
204;3;13.2;4.0
205;3;14.0;5.0
206;3;14.8;6.0
207;3;15.600000000000001;7.0
208;3;16.4;8.0
209;3;17.2;9.0
210;3;18.0;10.0
211;3;18.8;11.0
212;3;19.6;12.0
213;3;20.4;13.0
214;3;21.200000000000003;14.0
215;3;22.0;15.0
216;3;22.8;16.0
217;3;23.6;17.0
218;3;24.4;18.0
219;3;25.200000000000003;19.0
220;3;26.0;20.0
221;3;26.8;21.0
222;3;27.6;22.0
223;3;28.400000000000002;23.0
224;3;29.200000000000003;24.0
225;3;30.0;25.0
226;3;30.8;26.0
227;3;31.6;27.0
228;3;32.400000000000006;28.0
229;3;33.2;29.0
230;3;34.0;30.0
231;3;34.8;31.0
232;3;35.6;32.0
233;3;36.400000000000006;33.0
234;3;37.2;34.0
235;3;38.0;35.0
236;3;38.8;36.0
237;3;39.6;37.0
238;3;40.400000000000006;38.0
239;3;41.2;39.0
240;3;42.0;40.0
241;3;42.800000000000004;41.0
242;3;43.6;42.0
243;3;44.4;43.0
244;3;45.2;44.0
245;3;46.0;45.0
246;3;46.800000000000004;46.0
247;3;47.6;47.0
248;3;48.400000000000006;48.0
249;3;49.2;49.0
250;3;50.0;50.0
251;3;50.800000000000004;51.0
252;3;51.6;52.0
253;3;52.400000000000006;53.0
254;3;53.2;54.0
255;3;54.0;55.0
256;3;54.800000000000004;56.0
257;3;55.6;57.0
258;3;56.400000000000006;58.0
259;3;57.2;59.0
260;3;58.0;60.0
261;3;58.800000000000004;61.0
262;3;59.6;62.0
263;3;60.400000000000006;63.0
264;3;61.2;64.0
265;3;62.0;65.0
266;3;62.800000000000004;66.0
267;3;63.6;67.0
268;3;64.4;68.0
269;3;65.2;69.0
270;3;66.0;70.0
271;3;66.80000000000001;71.0
272;3;67.6;72.0
273;3;68.4;73.0
274;3;69.2;74.0
275;3;70.0;75.0
276;3;70.80000000000001;76.0
277;3;71.6;77.0
278;3;72.4;78.0
279;3;73.2;79.0
280;3;74.0;80.0
281;3;74.8;81.0
282;3;75.60000000000001;82.0
283;3;76.4;83.0
284;3;77.2;84.0
285;3;78.0;85.0
286;3;78.8;86.0
287;3;79.60000000000001;87.0
288;3;80.4;88.0
289;3;81.2;89.0
290;3;82.0;90.0
291;3;82.8;91.0
292;3;83.60000000000001;92.0
293;3;84.4;93.0
294;3;85.2;94.0
295;3;86.0;95.0
296;3;86.80000000000001;96.0
297;3;87.60000000000001;97.0
298;3;88.4;98.0
299;3;89.2;99.0
300;3;90.0;100.0
301;4;10.8;1.0
